1, none, betterend:amber_land, MONSTER, minecraft:enderman, 5, 1, 4
4201, taiga, wythers:boreal_forest_red, MONSTER, grimoireofgaia:flesh_lich, 30, 2, 4
4202, taiga, wythers:boreal_forest_red, MONSTER, grimoireofgaia:mimic, 30, 1, 1
4203, taiga, wythers:boreal_forest_red, MONSTER, player_mobs:player_mob, 20, 2, 4
4204, taiga, wythers:boreal_forest_red, MONSTER, alexsmobs:centipede_head, 10, 1, 1
4205, taiga, wythers:boreal_forest_red, MONSTER, alexsmobs:farseer, 10, 1, 1
4206, taiga, wythers:boreal_forest_red, MONSTER, alexsmobs:murmur, 10, 1, 1
4207, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
4208, taiga, wythers:boreal_forest_red, MONSTER, hmag:banshee, 20, 1, 2
4209, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
4210, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
4211, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
4212, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:corpse_fly, 17, 1, 3
4213, taiga, wythers:boreal_forest_red, MONSTER, monsterplus:crystal_zombie, 20, 2, 4
4214, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
4215, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
4216, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
4217, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
4218, taiga, wythers:boreal_forest_red, MONSTER, hmag:dodomeki, 20, 1, 2
4219, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
4220, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
4221, taiga, wythers:boreal_forest_red, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 3
4222, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
4223, taiga, wythers:boreal_forest_red, MONSTER, monsterplus:glow_skeleton, 30, 1, 3
4224, taiga, wythers:boreal_forest_red, MONSTER, hmag:melty_monster, 18, 1, 3
4225, taiga, wythers:boreal_forest_red, MONSTER, hmag:ghost, 15, 1, 2
4226, taiga, wythers:boreal_forest_red, MONSTER, hmag:kobold, 20, 1, 2
4227, taiga, wythers:boreal_forest_red, MONSTER, hmag:lich, 10, 1, 1
4228, taiga, wythers:boreal_forest_red, MONSTER, hmag:ogre, 10, 1, 1
4229, taiga, wythers:boreal_forest_red, MONSTER, hmag:spider_nest, 10, 1, 2
4230, taiga, wythers:boreal_forest_red, MONSTER, hmag:necrotic_reaper, 10, 1, 2
4231, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
4232, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
4233, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
4234, taiga, wythers:boreal_forest_red, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
4235, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
4236, taiga, wythers:boreal_forest_red, MONSTER, riskofrain_mobs:lemurian_entity, 26, 1, 2
4237, taiga, wythers:boreal_forest_red, MONSTER, riskofrain_mobs:stone_golem_entity, 20, 1, 1
4238, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
4239, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
4240, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
4241, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
4242, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
4243, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
4244, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
4245, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
4246, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
4247, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
4248, taiga, wythers:boreal_forest_red, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
4249, taiga, wythers:boreal_forest_red, CREATURE, minecraft:sheep, 35, 2, 4
4250, taiga, wythers:boreal_forest_red, CREATURE, minecraft:pig, 25, 2, 4
4251, taiga, wythers:boreal_forest_red, CREATURE, minecraft:chicken, 35, 4, 4
4252, taiga, wythers:boreal_forest_red, CREATURE, minecraft:cow, 35, 2, 4
4253, taiga, wythers:boreal_forest_red, CREATURE, exoticbirds:bluejay, 12, 2, 3
4254, taiga, wythers:boreal_forest_red, CREATURE, exoticbirds:cardinal, 12, 2, 3
4255, taiga, wythers:boreal_forest_red, CREATURE, exoticbirds:magpie, 12, 2, 3
4256, taiga, wythers:boreal_forest_red, CREATURE, exoticbirds:owl, 10, 2, 3
4257, taiga, wythers:boreal_forest_red, CREATURE, exoticbirds:pigeon, 12, 2, 3
4258, taiga, wythers:boreal_forest_red, CREATURE, exoticbirds:robin, 12, 2, 3
4259, taiga, wythers:boreal_forest_red, CREATURE, exoticbirds:woodpecker, 12, 2, 3
4260, taiga, wythers:boreal_forest_red, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
4261, taiga, wythers:boreal_forest_red, CREATURE, alexsmobs:raccoon, 10, 2, 4
4262, taiga, wythers:boreal_forest_red, CREATURE, alexsmobs:crow, 10, 2, 4
4263, taiga, wythers:boreal_forest_red, CREATURE, alexsmobs:blue_jay, 10, 2, 4
4264, taiga, wythers:boreal_forest_red, CREATURE, riskofrain_mobs:gunner_drone_entity, 10, 1, 1
4265, taiga, wythers:boreal_forest_red, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
4266, taiga, wythers:boreal_forest_red, AMBIENT, minecraft:bat, 10, 2, 4
4267, taiga, wythers:boreal_forest_red, AMBIENT, alexsmobs:fly, 10, 2, 3
4268, taiga, wythers:boreal_forest_red, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 2, 4
4269, taiga, wythers:boreal_forest_red, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 2, 4
4270, taiga, wythers:boreal_forest_red, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
4271, taiga, wythers:boreal_forest_red, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 12, 2, 5
4272, taiga, wythers:boreal_forest_red, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 3
4273, taiga, wythers:boreal_forest_red, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
4274, taiga, wythers:boreal_forest_red, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
4275, taiga, wythers:boreal_forest_red, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
4276, taiga, wythers:boreal_forest_red, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
4277, taiga, wythers:boreal_forest_red, WATER_AMBIENT, aquaculture:minnow, 18, 1, 3
4278, taiga, wythers:boreal_forest_red, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
4279, taiga, wythers:boreal_forest_red, WATER_AMBIENT, aquaculture:perch, 20, 1, 3
4280, taiga, wythers:boreal_forest_red, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
4281, taiga, wythers:boreal_forest_yellow, MONSTER, minecraft:spider, 30, 2, 4
4282, taiga, wythers:boreal_forest_yellow, MONSTER, minecraft:zombie, 40, 2, 3
4283, taiga, wythers:boreal_forest_yellow, MONSTER, minecraft:zombie_villager, 10, 1, 1
4284, taiga, wythers:boreal_forest_yellow, MONSTER, minecraft:skeleton, 40, 2, 4
4285, taiga, wythers:boreal_forest_yellow, MONSTER, minecraft:slime, 30, 2, 4
4286, taiga, wythers:boreal_forest_yellow, MONSTER, minecraft:enderman, 5, 1, 2
4287, taiga, wythers:boreal_forest_yellow, MONSTER, minecraft:witch, 5, 1, 1
4288, taiga, wythers:boreal_forest_yellow, MONSTER, monsterplus:abyssologer, 10, 1, 1
4289, taiga, wythers:boreal_forest_yellow, MONSTER, grimoireofgaia:arachne, 20, 1, 2
4290, taiga, wythers:boreal_forest_yellow, MONSTER, grimoireofgaia:bone_knight, 20, 1, 2
4291, taiga, wythers:boreal_forest_yellow, MONSTER, grimoireofgaia:creep, 20, 2, 3
4292, taiga, wythers:boreal_forest_yellow, MONSTER, grimoireofgaia:deathword, 30, 1, 2
4293, taiga, wythers:boreal_forest_yellow, MONSTER, grimoireofgaia:ender_eye, 30, 2, 4
4294, taiga, wythers:boreal_forest_yellow, MONSTER, grimoireofgaia:flesh_lich, 30, 2, 4
4295, taiga, wythers:boreal_forest_yellow, MONSTER, grimoireofgaia:mimic, 30, 1, 1
4296, taiga, wythers:boreal_forest_yellow, MONSTER, player_mobs:player_mob, 20, 2, 4
4297, taiga, wythers:boreal_forest_yellow, MONSTER, alexsmobs:centipede_head, 10, 1, 1
4298, taiga, wythers:boreal_forest_yellow, MONSTER, alexsmobs:farseer, 10, 1, 1
4299, taiga, wythers:boreal_forest_yellow, MONSTER, alexsmobs:murmur, 10, 1, 1
4300, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
4301, taiga, wythers:boreal_forest_yellow, MONSTER, hmag:banshee, 20, 1, 2
4302, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
4303, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
4304, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
4305, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:corpse_fly, 17, 1, 3
4306, taiga, wythers:boreal_forest_yellow, MONSTER, monsterplus:crystal_zombie, 20, 2, 4
4307, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
4308, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
4309, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
4310, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
4311, taiga, wythers:boreal_forest_yellow, MONSTER, hmag:dodomeki, 20, 1, 2
4312, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
4313, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
4314, taiga, wythers:boreal_forest_yellow, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 3
4315, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
4316, taiga, wythers:boreal_forest_yellow, MONSTER, monsterplus:glow_skeleton, 30, 1, 3
4317, taiga, wythers:boreal_forest_yellow, MONSTER, hmag:melty_monster, 18, 1, 3
4318, taiga, wythers:boreal_forest_yellow, MONSTER, hmag:ghost, 15, 1, 2
4319, taiga, wythers:boreal_forest_yellow, MONSTER, hmag:kobold, 20, 1, 2
4320, taiga, wythers:boreal_forest_yellow, MONSTER, hmag:lich, 10, 1, 1
4321, taiga, wythers:boreal_forest_yellow, MONSTER, hmag:ogre, 10, 1, 1
4322, taiga, wythers:boreal_forest_yellow, MONSTER, hmag:spider_nest, 10, 1, 2
4323, taiga, wythers:boreal_forest_yellow, MONSTER, hmag:necrotic_reaper, 10, 1, 2
4324, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
4325, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
4326, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
4327, taiga, wythers:boreal_forest_yellow, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
4328, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
4329, taiga, wythers:boreal_forest_yellow, MONSTER, riskofrain_mobs:lemurian_entity, 26, 1, 2
4330, taiga, wythers:boreal_forest_yellow, MONSTER, riskofrain_mobs:stone_golem_entity, 20, 1, 1
4331, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
4332, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
4333, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
4334, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
4335, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
4336, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
4337, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
4338, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
4339, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
4340, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
4341, taiga, wythers:boreal_forest_yellow, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
4342, taiga, wythers:boreal_forest_yellow, CREATURE, minecraft:sheep, 35, 2, 4
4343, taiga, wythers:boreal_forest_yellow, CREATURE, minecraft:pig, 25, 2, 4
4344, taiga, wythers:boreal_forest_yellow, CREATURE, minecraft:chicken, 35, 4, 4
4345, taiga, wythers:boreal_forest_yellow, CREATURE, minecraft:cow, 35, 2, 4
4346, taiga, wythers:boreal_forest_yellow, CREATURE, exoticbirds:bluejay, 12, 2, 3
4347, taiga, wythers:boreal_forest_yellow, CREATURE, exoticbirds:cardinal, 12, 2, 3
4348, taiga, wythers:boreal_forest_yellow, CREATURE, exoticbirds:magpie, 12, 2, 3
4349, taiga, wythers:boreal_forest_yellow, CREATURE, exoticbirds:owl, 10, 2, 3
4350, taiga, wythers:boreal_forest_yellow, CREATURE, exoticbirds:pigeon, 12, 2, 3
4351, taiga, wythers:boreal_forest_yellow, CREATURE, exoticbirds:robin, 12, 2, 3
4352, taiga, wythers:boreal_forest_yellow, CREATURE, exoticbirds:woodpecker, 12, 2, 3
4353, taiga, wythers:boreal_forest_yellow, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
4354, taiga, wythers:boreal_forest_yellow, CREATURE, alexsmobs:raccoon, 10, 2, 4
4355, taiga, wythers:boreal_forest_yellow, CREATURE, alexsmobs:crow, 10, 2, 4
4356, taiga, wythers:boreal_forest_yellow, CREATURE, alexsmobs:blue_jay, 10, 2, 4
4357, taiga, wythers:boreal_forest_yellow, CREATURE, riskofrain_mobs:gunner_drone_entity, 10, 1, 1
4358, taiga, wythers:boreal_forest_yellow, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
4359, taiga, wythers:boreal_forest_yellow, AMBIENT, minecraft:bat, 10, 2, 4
4360, taiga, wythers:boreal_forest_yellow, AMBIENT, alexsmobs:fly, 10, 2, 3
4361, taiga, wythers:boreal_forest_yellow, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 2, 4
4362, taiga, wythers:boreal_forest_yellow, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 2, 4
4363, taiga, wythers:boreal_forest_yellow, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
4364, taiga, wythers:boreal_forest_yellow, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 12, 2, 5
4365, taiga, wythers:boreal_forest_yellow, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 3
4366, taiga, wythers:boreal_forest_yellow, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
4367, taiga, wythers:boreal_forest_yellow, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
4368, taiga, wythers:boreal_forest_yellow, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
4369, taiga, wythers:boreal_forest_yellow, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
4370, taiga, wythers:boreal_forest_yellow, WATER_AMBIENT, aquaculture:minnow, 18, 1, 3
4371, taiga, wythers:boreal_forest_yellow, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
4372, taiga, wythers:boreal_forest_yellow, WATER_AMBIENT, aquaculture:perch, 20, 1, 3
4373, taiga, wythers:boreal_forest_yellow, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
4374, none, blue_skies:brightlands, MONSTER, blue_skies:armored_frost_spirit, 10, 1, 1
4375, none, blue_skies:brightlands, MONSTER, blue_skies:crynocerous, 10, 1, 1
4376, none, blue_skies:brightlands, MONSTER, blue_skies:polargeist, 10, 1, 1
4377, none, blue_skies:brightlands, MONSTER, blue_skies:diophyde_prowler, 10, 1, 2
4378, none, blue_skies:brightlands, CREATURE, blue_skies:stardust_ram, 10, 2, 4
4379, none, blue_skies:brightlands, CREATURE, blue_skies:reindeer, 10, 2, 3
4380, none, blue_skies:brightlands, CREATURE, blue_skies:azulfo, 10, 4, 4
4381, none, blue_skies:brisk_meadow, MONSTER, blue_skies:armored_frost_spirit, 10, 1, 1
4382, none, blue_skies:brisk_meadow, MONSTER, blue_skies:polargeist, 10, 1, 1
4383, none, blue_skies:brisk_meadow, MONSTER, blue_skies:diophyde_prowler, 10, 1, 2
4384, none, blue_skies:brisk_meadow, CREATURE, blue_skies:stardust_ram, 10, 2, 4
4385, none, blue_skies:brisk_meadow, CREATURE, blue_skies:azulfo, 10, 4, 4
4386, none, blue_skies:brumble_forest, MONSTER, blue_skies:armored_frost_spirit, 25, 2, 4
4387, none, blue_skies:brumble_forest, MONSTER, blue_skies:whistleshell_crab, 20, 1, 1
4388, none, blue_skies:brumble_forest, MONSTER, blue_skies:seclam, 10, 1, 1
4389, none, blue_skies:brumble_forest, WATER_AMBIENT, minecraft:cod, 15, 3, 6
4390, none, blue_skies:brumble_forest, WATER_AMBIENT, blue_skies:jelly_drifter, 10, 1, 3
4391, none, blue_skies:brumble_forest, WATER_AMBIENT, blue_skies:grittle_flatfish, 10, 2, 3
4392, none, blue_skies:brumble_forest, WATER_AMBIENT, blue_skies:municipal_monkfish, 15, 3, 6
4393, none, wythers:cactus_desert, MONSTER, minecraft:spider, 30, 2, 4
4394, none, wythers:cactus_desert, MONSTER, minecraft:zombie, 19, 4, 4
4395, none, wythers:cactus_desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
4396, none, wythers:cactus_desert, MONSTER, minecraft:skeleton, 40, 2, 4
4397, none, wythers:cactus_desert, MONSTER, minecraft:creeper, 30, 2, 4
4398, none, wythers:cactus_desert, MONSTER, minecraft:slime, 30, 2, 4
4399, none, wythers:cactus_desert, MONSTER, minecraft:witch, 5, 1, 1
4400, none, wythers:cactus_desert, MONSTER, minecraft:husk, 30, 2, 4
4401, none, wythers:cactus_desert, MONSTER, monsterplus:abyssologer, 10, 1, 1
4402, none, wythers:cactus_desert, MONSTER, grimoireofgaia:ant_hill, 20, 1, 1
4403, none, wythers:cactus_desert, MONSTER, grimoireofgaia:ant_salvager, 20, 2, 3
4404, none, wythers:cactus_desert, MONSTER, grimoireofgaia:anubis, 20, 2, 4
4405, none, wythers:cactus_desert, MONSTER, grimoireofgaia:arachne, 20, 1, 2
4406, none, wythers:cactus_desert, MONSTER, grimoireofgaia:bone_knight, 20, 1, 2
4407, none, wythers:cactus_desert, MONSTER, grimoireofgaia:creep, 20, 2, 3
4408, none, wythers:cactus_desert, MONSTER, grimoireofgaia:deathword, 30, 1, 2
4409, none, wythers:cactus_desert, MONSTER, grimoireofgaia:ender_eye, 30, 2, 4
4410, none, wythers:cactus_desert, MONSTER, grimoireofgaia:flesh_lich, 30, 2, 4
4411, none, wythers:cactus_desert, MONSTER, grimoireofgaia:mimic, 30, 1, 1
4412, none, wythers:cactus_desert, MONSTER, grimoireofgaia:mummy, 30, 2, 4
4413, none, wythers:cactus_desert, MONSTER, player_mobs:player_mob, 20, 2, 4
4414, none, wythers:cactus_desert, MONSTER, grimoireofgaia:sphinx, 10, 1, 1
4415, none, wythers:cactus_desert, MONSTER, alexsmobs:centipede_head, 10, 1, 1
4416, none, wythers:cactus_desert, MONSTER, alexsmobs:farseer, 10, 1, 1
4417, none, wythers:cactus_desert, MONSTER, alexsmobs:murmur, 10, 1, 1
4418, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
4419, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
4420, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
4421, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
4422, none, wythers:cactus_desert, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 2
4423, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:corpse_fly, 17, 1, 3
4424, none, wythers:cactus_desert, MONSTER, monsterplus:crystal_zombie, 20, 2, 4
4425, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
4426, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
4427, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
4428, none, wythers:cactus_desert, MONSTER, endermanoverhaul:desert_enderman, 10, 1, 2
4429, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
4430, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
4431, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
4432, none, wythers:cactus_desert, MONSTER, hmag:dyssomnia, 10, 1, 1
4433, none, wythers:cactus_desert, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 3
4434, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
4435, none, wythers:cactus_desert, MONSTER, monsterplus:glow_skeleton, 30, 1, 3
4436, none, wythers:cactus_desert, MONSTER, hmag:melty_monster, 18, 1, 3
4437, none, wythers:cactus_desert, MONSTER, hmag:ghost, 15, 1, 2
4438, none, wythers:cactus_desert, MONSTER, hmag:kobold, 20, 1, 2
4439, none, wythers:cactus_desert, MONSTER, hmag:lich, 10, 1, 1
4440, none, wythers:cactus_desert, MONSTER, hmag:ogre, 10, 1, 1
4441, none, wythers:cactus_desert, MONSTER, hmag:spider_nest, 10, 1, 2
4442, none, wythers:cactus_desert, MONSTER, hmag:necrotic_reaper, 10, 1, 2
4443, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
4444, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
4445, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
4446, none, wythers:cactus_desert, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
4447, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
4448, none, wythers:cactus_desert, MONSTER, riskofrain_mobs:lemurian_entity, 26, 1, 2
4449, none, wythers:cactus_desert, MONSTER, riskofrain_mobs:stone_golem_entity, 20, 1, 1
4450, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
4451, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
4452, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
4453, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
4454, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
4455, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
4456, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
4457, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
4458, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
4459, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
4460, none, wythers:cactus_desert, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
4461, none, wythers:cactus_desert, CREATURE, minecraft:rabbit, 10, 2, 3
4462, none, wythers:cactus_desert, CREATURE, exoticbirds:pigeon, 12, 2, 3
4463, none, wythers:cactus_desert, CREATURE, riskofrain_mobs:gunner_drone_entity, 10, 1, 1
4464, none, wythers:cactus_desert, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
4465, none, wythers:cactus_desert, AMBIENT, minecraft:bat, 10, 2, 4
4466, none, wythers:cactus_desert, AMBIENT, alexsmobs:fly, 10, 2, 3
4467, none, wythers:cactus_desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 2, 4
4468, none, wythers:cactus_desert, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 2, 4
4469, none, wythers:cactus_desert, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
4470, none, wythers:cactus_desert, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 12, 2, 5
4471, none, wythers:cactus_desert, WATER_AMBIENT, aquaculture:bayad, 10, 1, 2
4472, none, wythers:cactus_desert, WATER_AMBIENT, aquaculture:boulti, 10, 1, 3
4473, none, wythers:cactus_desert, WATER_AMBIENT, aquaculture:capitaine, 10, 1, 1
4474, none, wythers:cactus_desert, WATER_AMBIENT, aquaculture:synodontis, 20, 1, 3
4475, none, wythers:calcite_caverns, MONSTER, minecraft:spider, 30, 2, 4
4476, none, wythers:calcite_caverns, MONSTER, minecraft:zombie, 40, 2, 3
4477, none, wythers:calcite_caverns, MONSTER, minecraft:zombie_villager, 10, 1, 1
4478, none, wythers:calcite_caverns, MONSTER, minecraft:skeleton, 40, 2, 4
4479, none, wythers:calcite_caverns, MONSTER, minecraft:creeper, 30, 2, 4
4480, none, wythers:calcite_caverns, MONSTER, minecraft:slime, 30, 2, 4
4481, none, wythers:calcite_caverns, MONSTER, minecraft:enderman, 5, 1, 2
4482, none, wythers:calcite_caverns, MONSTER, minecraft:witch, 5, 1, 1
4483, none, wythers:calcite_caverns, MONSTER, monsterplus:abyssologer, 10, 1, 1
4484, none, wythers:calcite_caverns, MONSTER, grimoireofgaia:arachne, 20, 1, 2
