1, none, far_end:amethyst_forest, MONSTER, minecraft:enderman, 5, 4, 4
1975, swamp, wythers:autumnal_swamp, MONSTER, hmag:ghost, 15, 1, 2
1976, swamp, wythers:autumnal_swamp, MONSTER, hmag:kobold, 20, 1, 2
1977, swamp, wythers:autumnal_swamp, MONSTER, hmag:lich, 10, 1, 1
1978, swamp, wythers:autumnal_swamp, MONSTER, hmag:ogre, 10, 1, 1
1979, swamp, wythers:autumnal_swamp, MONSTER, hmag:spider_nest, 10, 1, 2
1980, swamp, wythers:autumnal_swamp, MONSTER, hmag:necrotic_reaper, 10, 1, 2
1981, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
1982, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
1983, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
1984, swamp, wythers:autumnal_swamp, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
1985, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
1986, swamp, wythers:autumnal_swamp, MONSTER, riskofrain_mobs:lemurian_entity, 26, 1, 2
1987, swamp, wythers:autumnal_swamp, MONSTER, riskofrain_mobs:stone_golem_entity, 20, 1, 1
1988, swamp, wythers:autumnal_swamp, MONSTER, hmag:savagefang, 10, 2, 4
1989, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
1990, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:shy_spirit, 10, 1, 1
1991, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
1992, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
1993, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
1994, swamp, wythers:autumnal_swamp, MONSTER, hmag:slime_girl, 15, 1, 2
1995, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
1996, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
1997, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
1998, swamp, wythers:autumnal_swamp, MONSTER, endermanoverhaul:swamp_enderman, 10, 1, 2
1999, swamp, wythers:autumnal_swamp, MONSTER, monsterplus:swamp_zombie, 30, 2, 3
2000, swamp, wythers:autumnal_swamp, MONSTER, hmag:swamper, 20, 1, 2
2001, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
2002, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
2003, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
2004, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
2005, swamp, wythers:autumnal_swamp, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
2006, swamp, wythers:autumnal_swamp, CREATURE, minecraft:sheep, 35, 2, 4
2007, swamp, wythers:autumnal_swamp, CREATURE, minecraft:pig, 25, 2, 4
2008, swamp, wythers:autumnal_swamp, CREATURE, minecraft:chicken, 35, 4, 4
2009, swamp, wythers:autumnal_swamp, CREATURE, minecraft:cow, 35, 2, 4
2010, swamp, wythers:autumnal_swamp, CREATURE, minecraft:frog, 10, 2, 3
2011, swamp, wythers:autumnal_swamp, CREATURE, exoticbirds:duck, 10, 2, 3
2012, swamp, wythers:autumnal_swamp, CREATURE, exoticbirds:flamingo, 10, 2, 3
2013, swamp, wythers:autumnal_swamp, CREATURE, exoticbirds:gull, 12, 2, 3
2014, swamp, wythers:autumnal_swamp, CREATURE, exoticbirds:heron, 10, 2, 3
2015, swamp, wythers:autumnal_swamp, CREATURE, exoticbirds:pigeon, 12, 2, 3
2016, swamp, wythers:autumnal_swamp, CREATURE, exoticbirds:swan, 10, 2, 3
2017, swamp, wythers:autumnal_swamp, CREATURE, alexsmobs:crocodile, 10, 1, 2
2018, swamp, wythers:autumnal_swamp, CREATURE, alexsmobs:shoebill, 10, 1, 2
2019, swamp, wythers:autumnal_swamp, CREATURE, alexsmobs:alligator_snapping_turtle, 10, 1, 2
2020, swamp, wythers:autumnal_swamp, CREATURE, alexsmobs:anaconda, 10, 1, 1
2021, swamp, wythers:autumnal_swamp, CREATURE, aquaculture:box_turtle, 11, 1, 2
2022, swamp, wythers:autumnal_swamp, CREATURE, riskofrain_mobs:gunner_drone_entity, 10, 1, 1
2023, swamp, wythers:autumnal_swamp, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
2024, swamp, wythers:autumnal_swamp, AMBIENT, minecraft:bat, 10, 2, 4
2025, swamp, wythers:autumnal_swamp, AMBIENT, alexsmobs:fly, 10, 2, 3
2026, swamp, wythers:autumnal_swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 2, 4
2027, swamp, wythers:autumnal_swamp, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 2, 4
2028, swamp, wythers:autumnal_swamp, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
2029, swamp, wythers:autumnal_swamp, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 12, 2, 5
2030, swamp, wythers:autumnal_swamp, WATER_AMBIENT, alexsmobs:catfish, 10, 1, 3
2031, swamp, wythers:autumnal_swamp, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 3
2032, swamp, wythers:autumnal_swamp, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
2033, swamp, wythers:autumnal_swamp, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
2034, swamp, wythers:autumnal_swamp, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
2035, swamp, wythers:autumnal_swamp, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
2036, swamp, wythers:autumnal_swamp, WATER_AMBIENT, aquaculture:minnow, 18, 1, 3
2037, swamp, wythers:autumnal_swamp, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
2038, swamp, wythers:autumnal_swamp, WATER_AMBIENT, aquaculture:perch, 20, 1, 3
2039, swamp, wythers:autumnal_swamp, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
2040, swamp, wythers:autumnal_swamp, zombie, rotted:marine, 15, 1, 1
2041, swamp, wythers:autumnal_swamp, zombie, rotted:doctor, 10, 1, 1
2042, swamp, wythers:autumnal_swamp, zombie, rotted:farmer, 20, 1, 2
2043, swamp, wythers:autumnal_swamp, zombie, rotted:miner, 20, 1, 2
2044, swamp, wythers:autumnal_swamp, zombie, rotted:adventurer, 25, 1, 2
2045, swamp, wythers:autumnal_swamp, zombie, rotted:flusk, 15, 1, 1
2046, swamp, wythers:autumnal_swamp, zombie, rotted:shielder, 15, 1, 2
2047, badlands, wythers:ayers_rock, MONSTER, minecraft:spider, 30, 2, 4
2048, badlands, wythers:ayers_rock, MONSTER, minecraft:zombie, 40, 2, 3
2049, badlands, wythers:ayers_rock, MONSTER, minecraft:zombie_villager, 10, 1, 1
2050, badlands, wythers:ayers_rock, MONSTER, minecraft:skeleton, 40, 2, 4
2051, badlands, wythers:ayers_rock, MONSTER, minecraft:slime, 30, 2, 4
2052, badlands, wythers:ayers_rock, MONSTER, minecraft:witch, 5, 1, 1
2053, badlands, wythers:ayers_rock, MONSTER, monsterplus:abyssologer, 10, 1, 1
2054, badlands, wythers:ayers_rock, MONSTER, grimoireofgaia:arachne, 20, 1, 2
2055, badlands, wythers:ayers_rock, MONSTER, grimoireofgaia:centaur, 20, 1, 2
2056, badlands, wythers:ayers_rock, MONSTER, grimoireofgaia:harpy, 20, 1, 2
2057, badlands, wythers:ayers_rock, MONSTER, grimoireofgaia:minotaur, 10, 1, 1
2058, badlands, wythers:ayers_rock, MONSTER, grimoireofgaia:minotaurus, 20, 1, 2
2059, badlands, wythers:ayers_rock, MONSTER, grimoireofgaia:satyress, 20, 2, 4
2060, badlands, wythers:ayers_rock, MONSTER, grimoireofgaia:bone_knight, 20, 1, 2
2061, badlands, wythers:ayers_rock, MONSTER, grimoireofgaia:creep, 20, 2, 3
2062, badlands, wythers:ayers_rock, MONSTER, grimoireofgaia:deathword, 30, 1, 2
2063, badlands, wythers:ayers_rock, MONSTER, grimoireofgaia:ender_eye, 30, 2, 4
2064, badlands, wythers:ayers_rock, MONSTER, grimoireofgaia:flesh_lich, 30, 2, 4
2065, badlands, wythers:ayers_rock, MONSTER, grimoireofgaia:mimic, 30, 1, 1
2066, badlands, wythers:ayers_rock, MONSTER, player_mobs:player_mob, 20, 2, 4
2067, badlands, wythers:ayers_rock, MONSTER, alexsmobs:centipede_head, 10, 1, 1
2068, badlands, wythers:ayers_rock, MONSTER, alexsmobs:farseer, 5, 1, 1
2069, badlands, wythers:ayers_rock, MONSTER, alexsmobs:murmur, 10, 1, 1
2070, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
2071, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
2072, badlands, wythers:ayers_rock, MONSTER, endermanoverhaul:badlands_enderman, 10, 1, 2
2073, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
2074, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
2075, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
2076, badlands, wythers:ayers_rock, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 2
2077, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:corpse_fly, 17, 1, 3
2078, badlands, wythers:ayers_rock, MONSTER, monsterplus:crystal_zombie, 20, 2, 4
2079, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
2080, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
2081, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
2082, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
2083, badlands, wythers:ayers_rock, MONSTER, hmag:dogu, 10, 1, 1
2084, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
2085, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
2086, badlands, wythers:ayers_rock, MONSTER, hmag:dyssomnia, 10, 1, 1
2087, badlands, wythers:ayers_rock, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 3
2088, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
2089, badlands, wythers:ayers_rock, MONSTER, monsterplus:glow_skeleton, 30, 1, 3
2090, badlands, wythers:ayers_rock, MONSTER, hmag:melty_monster, 18, 1, 3
2091, badlands, wythers:ayers_rock, MONSTER, hmag:ghost, 15, 1, 2
2092, badlands, wythers:ayers_rock, MONSTER, hmag:kobold, 20, 1, 2
2093, badlands, wythers:ayers_rock, MONSTER, hmag:lich, 10, 1, 1
2094, badlands, wythers:ayers_rock, MONSTER, hmag:ogre, 10, 1, 1
2095, badlands, wythers:ayers_rock, MONSTER, hmag:spider_nest, 10, 1, 2
2096, badlands, wythers:ayers_rock, MONSTER, hmag:necrotic_reaper, 10, 1, 2
2097, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
2098, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
2099, badlands, wythers:ayers_rock, MONSTER, hmag:nightwalker, 20, 1, 2
2100, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
2101, badlands, wythers:ayers_rock, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
2102, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
2103, badlands, wythers:ayers_rock, MONSTER, riskofrain_mobs:lemurian_entity, 26, 1, 2
2104, badlands, wythers:ayers_rock, MONSTER, riskofrain_mobs:stone_golem_entity, 20, 1, 1
2105, badlands, wythers:ayers_rock, MONSTER, hmag:scorpion, 20, 1, 2
2106, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
2107, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:shy_spirit, 10, 1, 1
2108, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
2109, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
2110, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
2111, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
2112, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
2113, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
2114, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
2115, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
2116, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
2117, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
2118, badlands, wythers:ayers_rock, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
2119, badlands, wythers:ayers_rock, CREATURE, exoticbirds:cassowary, 10, 2, 3
2120, badlands, wythers:ayers_rock, CREATURE, exoticbirds:crane, 10, 2, 3
2121, badlands, wythers:ayers_rock, CREATURE, exoticbirds:ostrich, 10, 2, 3
2122, badlands, wythers:ayers_rock, CREATURE, exoticbirds:pigeon, 12, 2, 3
2123, badlands, wythers:ayers_rock, CREATURE, exoticbirds:roadrunner, 10, 2, 3
2124, badlands, wythers:ayers_rock, CREATURE, alexsmobs:roadrunner, 10, 2, 2
2125, badlands, wythers:ayers_rock, CREATURE, alexsmobs:rattlesnake, 10, 1, 2
2126, badlands, wythers:ayers_rock, CREATURE, alexsmobs:emu, 10, 2, 3
2127, badlands, wythers:ayers_rock, CREATURE, alexsmobs:kangaroo, 12, 3, 5
2128, badlands, wythers:ayers_rock, CREATURE, riskofrain_mobs:gunner_drone_entity, 10, 1, 1
2129, badlands, wythers:ayers_rock, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
2130, badlands, wythers:ayers_rock, AMBIENT, minecraft:bat, 10, 2, 4
2131, badlands, wythers:ayers_rock, AMBIENT, alexsmobs:fly, 10, 2, 3
2132, badlands, wythers:ayers_rock, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 2, 4
2133, badlands, wythers:ayers_rock, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 2, 4
2134, badlands, wythers:ayers_rock, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
2135, badlands, wythers:ayers_rock, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 12, 2, 5
2136, badlands, wythers:ayers_rock, WATER_AMBIENT, aquaculture:bayad, 10, 1, 2
2137, badlands, wythers:ayers_rock, WATER_AMBIENT, aquaculture:boulti, 10, 1, 3
2138, badlands, wythers:ayers_rock, WATER_AMBIENT, aquaculture:capitaine, 10, 1, 1
2139, badlands, wythers:ayers_rock, WATER_AMBIENT, aquaculture:synodontis, 20, 1, 3
2140, badlands, wythers:ayers_rock, zombie, rotted:marine, 15, 1, 1
2141, badlands, wythers:ayers_rock, zombie, rotted:doctor, 10, 1, 1
2142, badlands, wythers:ayers_rock, zombie, rotted:farmer, 20, 1, 2
2143, badlands, wythers:ayers_rock, zombie, rotted:miner, 20, 1, 2
2144, badlands, wythers:ayers_rock, zombie, rotted:adventurer, 25, 1, 2
2145, badlands, wythers:ayers_rock, zombie, rotted:flusk, 15, 1, 1
2146, badlands, wythers:ayers_rock, zombie, rotted:shielder, 15, 1, 2
2147, badlands, minecraft:badlands, MONSTER, minecraft:spider, 30, 2, 4
2148, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 40, 2, 3
2149, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
2150, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 40, 2, 4
2151, badlands, minecraft:badlands, MONSTER, minecraft:slime, 30, 2, 4
2152, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
2153, badlands, minecraft:badlands, MONSTER, monsterplus:abyssologer, 10, 1, 1
2154, badlands, minecraft:badlands, MONSTER, grimoireofgaia:arachne, 20, 1, 2
2155, badlands, minecraft:badlands, MONSTER, grimoireofgaia:centaur, 20, 1, 2
2156, badlands, minecraft:badlands, MONSTER, grimoireofgaia:harpy, 20, 1, 2
2157, badlands, minecraft:badlands, MONSTER, grimoireofgaia:minotaur, 10, 1, 1
2158, badlands, minecraft:badlands, MONSTER, grimoireofgaia:minotaurus, 20, 1, 2
2159, badlands, minecraft:badlands, MONSTER, grimoireofgaia:satyress, 20, 2, 4
2160, badlands, minecraft:badlands, MONSTER, grimoireofgaia:bone_knight, 20, 1, 2
2161, badlands, minecraft:badlands, MONSTER, grimoireofgaia:creep, 20, 2, 3
2162, badlands, minecraft:badlands, MONSTER, grimoireofgaia:deathword, 30, 1, 2
2163, badlands, minecraft:badlands, MONSTER, grimoireofgaia:ender_eye, 30, 2, 4
2164, badlands, minecraft:badlands, MONSTER, grimoireofgaia:flesh_lich, 30, 2, 4
2165, badlands, minecraft:badlands, MONSTER, grimoireofgaia:mimic, 30, 1, 1
2166, badlands, minecraft:badlands, MONSTER, player_mobs:player_mob, 20, 2, 4
2167, badlands, minecraft:badlands, MONSTER, alexsmobs:centipede_head, 10, 1, 1
2168, badlands, minecraft:badlands, MONSTER, alexsmobs:farseer, 5, 1, 1
2169, badlands, minecraft:badlands, MONSTER, alexsmobs:murmur, 10, 1, 1
2170, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
2171, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
2172, badlands, minecraft:badlands, MONSTER, endermanoverhaul:badlands_enderman, 10, 1, 2
2173, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
2174, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
2175, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
2176, badlands, minecraft:badlands, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 2
2177, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:corpse_fly, 17, 1, 3
2178, badlands, minecraft:badlands, MONSTER, monsterplus:crystal_zombie, 20, 2, 4
2179, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
2180, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
2181, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
2182, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
2183, badlands, minecraft:badlands, MONSTER, hmag:dogu, 10, 1, 1
2184, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
2185, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
2186, badlands, minecraft:badlands, MONSTER, hmag:dyssomnia, 10, 1, 1
2187, badlands, minecraft:badlands, MONSTER, dungeonsweaponry:enchanter, 30, 1, 1
2188, badlands, minecraft:badlands, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 3
2189, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
2190, badlands, minecraft:badlands, MONSTER, monsterplus:glow_skeleton, 30, 1, 3
2191, badlands, minecraft:badlands, MONSTER, hmag:melty_monster, 18, 1, 3
2192, badlands, minecraft:badlands, MONSTER, hmag:ghost, 15, 1, 2
2193, badlands, minecraft:badlands, MONSTER, hmag:kobold, 20, 1, 2
2194, badlands, minecraft:badlands, MONSTER, hmag:lich, 10, 1, 1
2195, badlands, minecraft:badlands, MONSTER, hmag:ogre, 10, 1, 1
2196, badlands, minecraft:badlands, MONSTER, hmag:spider_nest, 10, 1, 2
2197, badlands, minecraft:badlands, MONSTER, hmag:necrotic_reaper, 10, 1, 2
2198, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
2199, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
2200, badlands, minecraft:badlands, MONSTER, hmag:nightwalker, 20, 1, 2
2201, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
2202, badlands, minecraft:badlands, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
2203, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
2204, badlands, minecraft:badlands, MONSTER, riskofrain_mobs:lemurian_entity, 26, 1, 2
2205, badlands, minecraft:badlands, MONSTER, riskofrain_mobs:stone_golem_entity, 20, 1, 1
2206, badlands, minecraft:badlands, MONSTER, hmag:scorpion, 20, 1, 2
2207, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
2208, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:shy_spirit, 10, 1, 1
2209, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
2210, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
2211, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
2212, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
2213, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
2214, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
2215, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
2216, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
2217, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
2218, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
2219, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
2220, badlands, minecraft:badlands, CREATURE, minecraft:goat, 10, 1, 3
2221, badlands, minecraft:badlands, CREATURE, minecraft:rabbit, 10, 2, 3
2222, badlands, minecraft:badlands, CREATURE, minecraft:cow, 35, 2, 4
2223, badlands, minecraft:badlands, CREATURE, minecraft:horse, 10, 2, 6
2224, badlands, minecraft:badlands, CREATURE, minecraft:donkey, 10, 1, 3
2225, badlands, minecraft:badlands, CREATURE, minecraft:wolf, 10, 4, 4
2226, badlands, minecraft:badlands, CREATURE, exoticbirds:cassowary, 10, 2, 3
2227, badlands, minecraft:badlands, CREATURE, exoticbirds:crane, 10, 2, 3
2228, badlands, minecraft:badlands, CREATURE, exoticbirds:ostrich, 10, 2, 3
2229, badlands, minecraft:badlands, CREATURE, exoticbirds:pigeon, 12, 2, 3
2230, badlands, minecraft:badlands, CREATURE, exoticbirds:roadrunner, 10, 2, 3
2231, badlands, minecraft:badlands, CREATURE, alexsmobs:roadrunner, 10, 2, 2
2232, badlands, minecraft:badlands, CREATURE, alexsmobs:rattlesnake, 10, 1, 2
2233, badlands, minecraft:badlands, CREATURE, alexsmobs:emu, 10, 2, 3
2234, badlands, minecraft:badlands, CREATURE, alexsmobs:kangaroo, 12, 3, 5
2235, badlands, minecraft:badlands, CREATURE, riskofrain_mobs:gunner_drone_entity, 10, 1, 1
2236, badlands, minecraft:badlands, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
2237, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 2, 4
2238, badlands, minecraft:badlands, AMBIENT, alexsmobs:fly, 10, 2, 3
2239, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 2, 4
2240, badlands, minecraft:badlands, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 2, 4
2241, badlands, minecraft:badlands, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
2242, badlands, minecraft:badlands, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 12, 2, 5
2243, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:bayad, 10, 1, 2
2244, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:boulti, 10, 1, 3
2245, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:capitaine, 10, 1, 1
2246, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:synodontis, 20, 1, 3
2247, badlands, minecraft:badlands, zombie, rotted:marine, 15, 1, 1
2248, badlands, minecraft:badlands, zombie, rotted:doctor, 10, 1, 1
2249, badlands, minecraft:badlands, zombie, rotted:farmer, 20, 1, 2
2250, badlands, minecraft:badlands, zombie, rotted:miner, 20, 1, 2
2251, badlands, minecraft:badlands, zombie, rotted:adventurer, 25, 1, 2
2252, badlands, minecraft:badlands, zombie, rotted:flusk, 15, 1, 1
2253, badlands, minecraft:badlands, zombie, rotted:shielder, 15, 1, 2
2254, badlands, wythers:badlands_canyon, MONSTER, minecraft:spider, 30, 2, 4
2255, badlands, wythers:badlands_canyon, MONSTER, minecraft:zombie, 40, 2, 3
2256, badlands, wythers:badlands_canyon, MONSTER, minecraft:zombie_villager, 10, 1, 1
2257, badlands, wythers:badlands_canyon, MONSTER, minecraft:skeleton, 40, 2, 4
2258, badlands, wythers:badlands_canyon, MONSTER, minecraft:slime, 30, 2, 4
2259, badlands, wythers:badlands_canyon, MONSTER, minecraft:witch, 5, 1, 1
2260, badlands, wythers:badlands_canyon, MONSTER, monsterplus:abyssologer, 10, 1, 1
2261, badlands, wythers:badlands_canyon, MONSTER, grimoireofgaia:arachne, 20, 1, 2
2262, badlands, wythers:badlands_canyon, MONSTER, grimoireofgaia:centaur, 20, 1, 2
2263, badlands, wythers:badlands_canyon, MONSTER, grimoireofgaia:harpy, 20, 1, 2
2264, badlands, wythers:badlands_canyon, MONSTER, grimoireofgaia:minotaur, 10, 1, 1
2265, badlands, wythers:badlands_canyon, MONSTER, grimoireofgaia:minotaurus, 20, 1, 2
2266, badlands, wythers:badlands_canyon, MONSTER, grimoireofgaia:satyress, 20, 2, 4
2267, badlands, wythers:badlands_canyon, MONSTER, grimoireofgaia:bone_knight, 20, 1, 2
2268, badlands, wythers:badlands_canyon, MONSTER, grimoireofgaia:creep, 20, 2, 3
2269, badlands, wythers:badlands_canyon, MONSTER, grimoireofgaia:deathword, 30, 1, 2
2270, badlands, wythers:badlands_canyon, MONSTER, grimoireofgaia:ender_eye, 30, 2, 4
